Product_ID,Customer_Name,Customer_ID,Date,Rating,Reviews,Sentiment,Review_ID
7eba5a29-2cfb-46a8-a324-d1d89342b7be,itzmr7,6702,11/9/2019,1,mil gya hai acha hai aur toota howa b nai hai,Positive,6bcb8260
7e7bea92-3537-40c4-af7f-39d60b3591f2,Afridi,396,11/21/2016,5,aram sy pocket may aa jta hai aur quality b achi hai,Positive,ab917946
71a25ac6-c830-4418-9035-ec7fc6da4e83,Muhammed,3710,10/22/2018,2,sb sy achi chez apki customer service bhot achi hai aur products b orignal hai,Positive,c681d16e
8a0794e8-ac2f-44d7-84c0-c8816abe28ad,Ghazanfar,1860,10/6/2017,3,back cover acha hai sai cuts hai aur soft b hai kaafi acha hai lakin protector chota hai size may khaas tor b width may lakin touch sai kaam kar rha hai isi hi tarha sensor b sb kuch thek hai aur combination b acha hai,Positive,a38641cf
5c219cda-58aa-4a1a-8029-2ce870cf31e0,Murtaza iqbal,3778,8/31/2017,4,shru may may thumb grip k khalif thi kyu k extra chezy add kar deti thi lakin jb sy meri stock controller ki rubber wire kharab hona churu hoei may ny inn grips ko khared aur may bhot kush ho in pair ko istemail kar k in ko istemaal karna bhot asan hai aur mujhy lagta h inn ko istemaal kar k may acha game khelny wala ban gya ho inn ki quality inn ko acha banati hai aur asan h istemaal may,Negative,0232e8d3
1e3da2a1-aece-4a4a-8c2e-dccce11c4a0c,Usman,5754,2/14/2016,5,may ny ya lya kyu k ya madad karti h acha karni may jb game khelo race wali may ny new nfs ki game liii hai tu meri dost ny bola k tm ya khareed lo iss sy achi tarha game khel lo gi tu phr may ny ya in ka  ka pack liay lya ya sirf teezi k lya kaam nai aati balky iss sy dono players ka fyda b hota hai,Positive,e50b47b6
ce42367a-be11-4e51-973f-e6f40e9164ba,Rehan,4448,5/18/2019,4,mein neh shuru mein yeh haasil karne ki zahmat nahi ki thi lekin ab jab ke mere ps kntrolrz aik bohat barri satah par farsodah ho rahay hain mujhe  kaam se kaam ke liye hungami mansoobah talaash karne ki zaroorat hai aur yeh angothay ki girift aik game set hain mere liye match,Positive,88d98e04
af431b02-9007-4a3b-ae4d-b8eac4e93809,Aftab,405,6/15/2018,5,iss ka pura packge jis may naya chipset hai aur iss ki keemat b bhot kaam hai baki phone may sy jsy k samsung  etc,Negative,e51ecf12
c60da7a5-d6e0-495e-a90d-b4cb60fcdf2c,Sikander,5264,1/20/2019,1,bohat mehanga kya hai mein iss price brikt mein simsng s ya s kyun nahi khareedon ga daraz nay phone ki qeemat bohat onche kar di hai aur iss se yeh darmiyanay faaslay wala phone nahi bantaa hai iss qeemat mein simsng tamam behtar khususiyaat ke sath behtar hai bekar farokht,Negative,4f510d69
57e2dd8e-24c1-4430-9641-e2b57b6b28d3,A compliment,34,3/2/2018,5,yeh duniya mein har jagah  hai koi kharidari karne se pehlay iss haqeeqat ko jaan len,Positive,6dc23268
9f186353-baec-466d-8329-b81ddf349277,fizah,6549,1/19/2017,4,iss may iss ki cable nai h aur iss k speaker b sai kaam nai karti,Negative,e542dac0
4b2e6ad8-e259-44af-92af-636a3909c5e3,Nasir Raza,3959,1/31/2017,4,theek hai mein un head  tamirati miyaar sooti miyaar battery ke waqt se mutmaen hon qeemat ke liye sab kuch achh is hai yeh bohat umdah nazar atay hain aur kaam bhi karwa letay hain iss liye mujhe koi baat nahi hai iss ke sath mamlaat,Positive,9842bc2c
854ba27a-19d9-41a5-9c02-10540702885a,Waseeb Rehman,5913,11/14/2016,5,un head phone ke baarey mein mera tajurbah bohat acha raha hai mujhe yeh itna pasand aya hai ke mein nai un mein se  ko order diya hai yeh guzashta  mah se istemaal kar raha hon aur un ke miyaar ke sath kisi maslay ka saamna nahi karna para awaz aur taamer ka miyaar kaafi acha hai aur battery taqreeban   ghantay jari rehti hai,Positive,b8cbfe2c
c9e72f04-5e4e-4069-9923-bbaabd5aadc0,Asfandyar,987,6/14/2017,2,jaizay dekhnay ke baad khareeda gaya lekin mujhe imandaar bitayen badter head phone awaz ka miyaar bohat kaam hai taamer bhi aam hai usay nahi khareedain kuch paisay shaamil karen aur kuch acha khareedain,Positive,d465198c
22896cee-8b9a-437c-8ae3-7d92d95ec555,N,3834,2/28/2017,2,iss mein koi ox kibl shaamil nahi hai mein ny aik aks kibl khareedi hai aur usay apne laip taap se marboot kar di hai mein sirf head phone ke baen taraf se audio sun sakta hon durust numera,Positive,191b966b
e486763b-8ab1-4a52-90ea-5bc38bbcb08c,Shoaib,5219,5/24/2016,5,ya chez wkt p aa gai thi aur kaam b sai kar rhi hai,Neutral,c315446e
69f75b10-7a9c-4a77-a565-0cfacad42e86,Taha Khan,5497,10/16/2016,3,in k headphone ziyda buri nai hai lakin may kaho ka k inn ko na khareedo,Negative,2d11c529
100b5190-37ff-475f-857b-ba1b0549b426,Qamar Ali,4221,12/16/2017,5,may koi acha phone nai jaanta market may ya pura packge hai style ka money ka,Positive,328e99e1
